Species;bodyMass;homeRange
Acinonyx_jubatus;58.79999999;62.09999997
Aepyceros_melampus;53.24999999;3.8
Alcelaphus_buselaphus;135.9999999;5
Alces_alces;383.9999997;16.1
Antilocapra_americana;49.99999996;10
Antilope_cervicapra;37.50000002;6.499999999
Bison_bison;865;133
Camelus_dromedarius;550;100
Canis_aureus;8.800000001;9.1
Canis_latrans;13.3;45.00000002
Canis_lupus;35.29999997;202.8000002
Ceratotherium_simum;2000.000002;6.65
Cervus_canadensis;300.0000002;12.93
Connochaetes_taurinus;215.9999999;75
Crocuta_crocuta;52.00000004;25.00000002
Dama_dama;55;1.3
Damaliscus_lunatus;129.9999999;2.2
Diceros_bicornis;1200;15.59999999
Equus_caballus;349.9999997;22.49999999
Equus_hemionus;200.0000002;34.99999997
Nanger_granti;62.49999995;20.00000002
Eudorcas_thomsonii;20.5;5.3
Giraffa_camelopardalis;1074.999999;84.59999999
Hippotragus_equinus;226.4999998;80
Hyaena_hyaena;26.8;152.7999999
Lama_guanicoe;95;0.5
Lycaon_pictus;20.00000002;160.0000001
Madoqua_kirkii;5;0.043
Meles_meles;11.59999999;0.870000001
Mephitis_mephitis;2.5;2.5
Nasua_narica;4.4;1.05
Odocoileus_hemionus;74.00000005;2.85
Odocoileus_virginianus;57.00000004;1.96
Ovis_canadensis;85;14.32999999
Panthera_leo;155.7999999;236
Panthera_pardus;52.4;23.20000001
Panthera_tigris;161;69.6
Procyon_lotor;7;1.14
Rangifer_tarandus;100;30.00000002
Syncerus_caffer;620;137.9999999
Tapirus_bairdii;250.0000002;2
Tragelaphus_oryx;510.9999998;87.5
Urocyon_cinereoargenteus;3.7;1.1
Ursus_americanus;93.39999995;56.80000004
Ursus_arctos;251.3000002;82.80000004
Ursus_maritimus;265;115.6
Vulpes_vulpes;4.8;3.87
